sent_rating,processed_text_NoStopwords,data
negativo,O produto conecta aceita comandos e fica desconectando direto Decepcionado a qualidade,2020-11-09 00:00:00
negativo,Reconhecimento voz RUIM cogitando devolver e comprar geração Fiz diversos testes comparando a echo dot geração e aproximadamente a 10 a echo 2 ° escutava a echo 4 ° escutava 3 Impressionante anos teste pesquisa e desenvolvimento conseguiram piorar aspectos importantes produto Comprei a imaginando o reconhecimento vóz melhor e fiquei decepcionado A única salvar experiência o produto atualização software corrigisse defeito Resta descobrir problema hardware software,2020-11-25 00:00:00
positivo,Comprei a casa mãe senhora idade e configurações fiz pra diverte pedindo músicas notícias perguntando e acionando luzes e dispositivos comprados separadamente comandos voz equipamentos casa inteligente A sacada verdade configurar a Alexa d possa ligar acionar a polícia bombeiros comando voz fizemos o teste o claro e funcionou perfeitamente Alexa e a mãe hehehe recomendo,2020-12-07 00:00:00
positivo,A qualidade som impecável o microfone péssimo quase escuta e precisa repetir várias chega a frustrante a ideia assistente pessoal Comprei Black Friday 399E BF comprei a Echodot 3 ° 199 e tô devolvendo 4 ° ruim dimai vale o preço pago qualidade som o resto praticamente inferior a 3 ° geração,2020-11-17 00:00:00
negativo,Alexa surda!Um inferno comprei echo dot relógio e ficar gritando retardado Echo arrependi compra recomendo,2020-11-30 00:00:00
positivo,tamanho mão Apesar reclamando d ouvir a certa distância a reconhecendo a voz super e a distância Qualidade som deixou impressionada vc ajustes necessário maravilhosa arrependo jeito nenhum vale a pena ajustes reconhecimento voz e aplicativos o necessário super fácil baixa o aplicativo celular o aplicativo deixa super tranquilo entender,2020-11-19 00:00:00
positivo,Vamos começar ruim o microfone Comprei Echo Dot 3ª e 4ª geração coloquei ambiente falava aparelho 4ª geração e ouvia a 3ª Tirei a 3ª geração cômodo e fiz testes posicionamento e notei realmente modelo bola surdo falar alto acionar a Alexa Design particular gostei formato bola a luz led inferior ficou legal reflete superfície a Echo Dot o som começo achei faltava graves comparado a 3ª geração a 4º geração som claro pra distinguir melhor instrumentos app Alexa celular equalizador aumentei graves e diminuí pouquinho agudos O som ficou melhor possui realmente sons graves satisfatórios O volume surpreendentemente alto Acho cumpre proposta sugestão comprar a 3ª geração e plugar outro som saída P2 fone terá a Echo Dot barata melhor microfone e som realmente satisfatório Ah parear outro som via Bluetooth,2020-12-04 00:00:00
negativo,falha reconhecimento falar alto Comprei a versão preta e incomoda esteticamente o fato adaptador energia e o cabo serem cor BRANCA Sério,2020-11-11 00:00:00
positivo,O design lindo O anel luz forte O som 0 a 10 fica 8 O comando voz 0 a 10 fica 9 O reconhecimento voz 0 a 10 fica 9 A praticidade 0 a 10 fica 10 O acabamento 0 a 10 fica 10 a o design lindo combinou ambientes coloquei compacto e discreto O anel luz forte fica superfície fosca o anel destaca colocar mármore planície brilhosa ficará linda o anel luz reflete e sensação flutuando O som ajusta graves aplicativo e passa 50 distorce o esperar tamanho ajustar equalizador distorce O comando voz deixou a desejar ligada tocando música escuta e elevar a voz acho surda a Amazon concerte atualizações tiver tocando escuta normal a o reconhecimento voz buga e namorado a voz parecida e confundiu vozes O acabamento rebarbas construída a textura gostosa e lembra jeans botões desativar microfone baixar aumentar acionar Funcionam perfeitamente e agradáveis clicar comandos músicas funcionam poderia melhorar entende o pediu fiz 2 pedidos Amazon e simples preciso entrar app pra comprar peço e compra e fato a fonte cabo alimentação e acho tinha bateria assistente virtual fica carregando direito chato ficar tomada melhor tá vendo foto a fonte fica exposta ficou discreta branca e o interruptor o o cabe enorme incrível reconhece crianças sobrinha adora e pede galinha pintadinha mônica Marsha e o urso e toca últimos dias vi pessoas estavam relatando erro reprodução rotinas a Amazon disse bug e corrigindo problema executar rotina tocava música e parava achei incrível e pretendo vale a pena e o preço pagou o entregue,2020-12-10 00:00:00
negativo,Excelente qualidade som coisas pesam A entrada 3.5 mm funciona saída áudio sendo impossível reproduzir fonte externa absolutamente sentido a caixa excelente qualidade som colocar prioridade conectar a caixa).A única reproduzir fonte externa internet bluetooth esteja ciente adaptador recente seja compatível modo Português dificuldades o inglês há tendência aportuguesar palavras O ocorre mudar o idioma pra inglês o nome disco musica estiver escrito diferente complementos deezer spotify dificil d procurar reconhecimento voz Espere promoção e compre vale 250 reais,2021-02-03 00:00:00
positivo,A mídia carregada Adquiri a Echo Dot 4a geração dia 20/6/2021 54 dias utilizo e satisfeito o produto a compra a inteligência assistente virtual porem ressalvas Echo Dot casa infinidade possibilidades automação residencial opinião assistentes virtuais a Alexa braçada comparação a Google e Siri fluída inteligente e pq realidade humana voz robótica fluída e inteligente O aplicativo Alexa opinião poderia melhorar deixando a vista opções a criar rotinas aumentar e reduzir volume sincronizar bluetooth e prático utilizar A Echo Dot 4a geração design bonito comprei a preta e ficou perfeita o Case Darth Vader comprei ML pode-se foto e vídeo Atualmente utilizo 10 lâmpadas Wiz A60 Smart Controle Universal Positivo Conversor 4 K NET Claro Soundbar LG SK9 TV LG Oled 55 B8 Roteador D-Link DIR-2680 e Módulo automação portão eletrônico AGL Izzy Open Wi-fi funcionado perfeitamente equipamentos e fã tecnologia claro pretendo adicionar dispositivos inteligentes a lista Ressalvas acho conveniente a o microfone d captação voz falha falando voz alta e surrando a palavra Alexa acorda e pergunta o desejo calibragem software hardware acho a melhor n geração e próximas vi e ouvi diversos relatos o microfone Echo Dot 3a geração melhor o 4a geração e confesso endosso lista experiência atual prejudica profundamente a experiência uso Echo Dot 4a geração Trata-se observação acho vale feita resumo recomento d casa recomendo melhor aproveitamento experiência conta d microfone E problema Echo Dot 4a geração e 3a geração outro comodo sincronizam e opinião quase equivalem,2021-08-13 00:00:00
negativo,diversos Echo casa a infeliz idéia a substituição dispositivos 3 geração 4 geração decepção O Som melhor o tamanho e o pior ouve direito falar alto aceite comandos e dificuldade compreender pensando downgrade a 3 geração quiser fique o 3 geração,2021-05-07 00:00:00
positivo,A mídia carregada Atende necessidades criar rotinas comando voz ex criei playlist spotify e coloquei rotina alexa pessoa ativá-la e abrir rotina o pq compartilho pessoas).Para o reconhecimento voz necessário falar O som,2021-07-01 00:00:00
negativo,O produto bonito o espera item atual a qualidade som atende necessidades o assistente comandado voz o fato escutar comandos a torna inútil ouvir comandos beneficio design qualidade sonora torne vc junto equipamento entender comandos gen2 e gen3 Alexa Gen3 outro cômodo casa responde a Gen4 a poucos metros sequer ouve o comando COMPREM DISPOSITIVO GERACAO péssimo,2021-01-22 00:00:00
positivo,Comprei Echo DOT 4 geração shopping hoje e adorando melhor a 3 geração O som potente e nítido a alto-falante modificada percebi nenhum problema a o reconhecimento voz mim mudou continua problemas,2020-11-17 00:00:00
positivo,A mídia carregada ótimo produto ajuda diversas coisas dia dia principalmente possui casa inteligente Bonito e som excelente qualidade pra ajustar app merece 5 estrelas motivos A pronúncia d perfeita principalmente palavras acento surda percebi há barulho a TV ligada skills interessantes a falhas Dependemos vontade skills melhorar e termos usabilidade pra Alexa Enfim o Echo Dot vale a pena apesar pequenos detalhes,2021-03-23 00:00:00
negativo,Entrega rápida decepcionada echo pra escutar q falar alto,2020-11-12 00:00:00
positivo,Aúdio excelente principalmente gosta músicas graves preenche casa o som Controle músicas ótima assinatura separada melhor aproveitamento O ruim pega Youtube Music pega deezer consegui vincular spotify tunel radio amazon music apple music peço tocar músicas spotify toca rádio a o invés música pedi gosta assistir jornal televisão noticiários d informar informa notícias tecnológicas G1 dentre informa o clima horário responde perguntas Web e wikipedia limitadas alarmes inúmeras opções escolha a voz escolher acordar a música preferida adiar alarmes dentre apagar luzes trancar portas ligar ar condicionado e ventilador a voz óbvio hahaha requer compras adicionais invadir alexa quiser conversar família ouvir estranho casa fosse interfone sabe?Lembrando chamadas o aplicativo Alexa instalado celular echo dot casa a privacidade a alexa ficar espiando começa a processar frases a frase ativação alexa echo amazon ouvir gravaçoes voz e apagar O reconhecimento voz melhores falar 2 alto ouvir atrapalhe o,2020-12-05 00:00:00
positivo,gostaria comentar a entrega Comprei sexta-feira BlackFriday recebi DOMINGO volta 16:00hs A configuração simples e poucos minutos sai falando O reconhecimento voz filho 6 anos inicialmente a chamava Alex e pediu a música Queen falando I Want to beck free E tocou O controle volume voz funciona funções App legais o som exatamente o queria A eco cozinha e consigo ouvir cômodos casa potente pra curtir pra muitas coisas agendo lembrete incluo produtos lista compras acionou tomar filho descobriu imita pum,2020-12-06 00:00:00
negativo,desgraça conecta direito a produtos Amazon resolvi avó pra ouvir música afinal escuta música gospel disse a vó alexa crente sabia ler a bíblia e tocar hinos evangélicos Vó ficou satisfeita veio reclamar mandou alexa tocar hinos harpa cristã e alexa disse tocava pagasse configurei conta spotify echo dot defini o spotify aplicativo músicas padrão a irmã alexa continua oferecendo assinaturas o Amazon Prime Music jeito Amazon Prime vir porcaria o Amazon Music Unlimited lixo vou pagar a contribuição irmã alexa O echo dot fica surdo mudar o nome d deixar Alexa e pronto prima Alexia casa vó treta,2021-12-09 00:00:00
positivo,Entrega o promete a assistente virtual e ótimas respostas e interações o reclamar a o reconhecimento voz deixa a desejar momentos escuta o som tá alto fica quase impossível ouvir e msm vc falar Alexa 4/5 acho mudar atualização Amazon a pq acabou lançada tá dando dor cabeça a elogiar melhores sons mercado pra pedir música Spotify e vc quiser automatizar a casa,2020-11-11 00:00:00
positivo,O produto excelente vale centavo Claro o vocabulário limitado reconhecimento pede comparado o assistente G Notei a o pedir notícias delay a noticia apresentada e o realmente radio CBN manhã percebi caos a notícia dia anterior E a o notícias 2 horas atras músicas 90 músicas pedi a tocado perfeitamente 10 tocadas ofereceu o pacote pago claro necessário formular corretamente a pergunta responderá muita precisão colar prova online,2021-03-03 00:00:00
positivo,Gostei produto chegou fiquei mexendo tentando aprender configurações a TV samsung deu certo a Alexa baixar o aplicativo SmartThings pra parear achei faria a conexão direto integrada a alexa fábrica apanhando configuração skills achei complicado O passo luzes e serviços inteligentes Gostei configuração música e facilidade falar Lógico pedir pra Alexa deixar o volume e falar ouvir o som alto achei a qualidade som comum a qualidade premium melhor gostei Fácil comunicação e resposta rápida recomendo,2021-04-27 00:00:00
positivo,positivos Rotinas o gostei fato muitas possibilidades e funcionam corretamente dispositivos conectados O som Skills maravilhosas e respostas rápidas negativos O tradutor a concorrente deixou a desejar integração produtos Amazon funciona Fire Stick 2º geração melhora mecanismo pesquisa melhora reconhecimento voz Acredito Alexa seja superior a Google Home existe a concorrente melhor,2020-12-04 00:00:00
positivo,Bonito funcional Alexa interativa intuitiva e o som ótima qualidade aparelho d tamanho O manual vago poucos detalhes Poderia descritivo e explicativo ok,2020-11-08 00:00:00
negativo,O produto som resposta voz frustrado problema a Amazon classificou incompatibilidade Echo dot 4 fica dando play insistentemente vídeos áudios e músicas aplicativos O bug abrir vídeo instagram computador apertar play e sair conversa o áudio vídeo voltará dê o comando Fiquei decepcionado meios resolver o problema deu jeito O dispositivo veio desatualizado e entrar contato fosse atualizado a esperança a atualização o Bug fosse eliminado infelizmente continua,2021-03-26 00:00:00
negativo,O reconhecimento voz pessoas exigente fraco falando clareza o Echo Dot apresenta respostas esperado O Echo Dot reconhece palavras principalmente sejam idioma escolhido e acaba fazendo pesquisas coisas desejadas O Echo Dot apresenta muitas poucas funções consegue reproduzir vídeo áudio a pesquisa músicas consegue alcançar resultados satisfatórios ressaltando o fato reconhecer palavras O informações o Echo Dot fornecer baixas perguntamos assuntos históricos simplesmente respostas respostas satisfatórias Skills Echo Dot suprem a acessibilidade produto o consumidor tenha altas expectativas o produto a triste decepção A acessibilidade produto fazendo o consumidor perder o interesse e deveria influenciar vida pessoa acaba virando enfeite estante,2021-01-20 00:00:00
positivo,A caixa som Alexa Caso queira caixa som posta ambientes pequenos reunião amigos cumpre papel possibilidades uso caixa inteligente interessantes simples e dispensável comandos voz ajudam Fazendo a integração conta Amazon usos coisas simples somando pedir despertador timer colocar produtos lista compras músicas possibilidades,2021-01-12 00:00:00
negativo,a novidade si pedir pra tocar musica e perguntas quiser confesso acho a inteligência artificial Alexa questionável Comprei irmão tinha ótima geração anterior achatadinha a d modelo redondinho surda Muitas a gente pede coisas pra e compreende entende enfim muita raiva tocar Amazon Music o pra mim sentido Youtube Premium e Spotify irritante coletar informações damos a hora irritante apesar gente ouvir o musica cria conta própria playlist gosto musical dias escolher e pede tocar música e toca o gosta e ouviu Enfim acho a inteligência artificial Youtube Music interessante a Alexa,2021-10-14 00:00:00
negativo,vi comentários dizendo capta direito a voz Teimoso comprei msm vale a pena n pra mim acreditem tô falando rs o bacana assistente voz justamente a precisão ouvir e atender precisar gritar repetir várias tá escuta depende mt cômodo direção e tiver obstáculo ex a tela notebook voz e esquece gritando pra ouvir literalmente vc preza qualidade reconhecimento custo benefício áudio satisfatório p cômodo alexa 3 Tô devolvendo pegando alexa 3 msm,2020-12-01 00:00:00
negativo,1- O som grave passa certo volume distorce o som absurdamente.2 microfones a mesma captação versão anterior diria capação 20 menor. 3-A fonte o veio BRANCA e o aparelho PRETO ficou visualemnte feia a combinação acho pisaram bola n versão errou feio AMAZON trocaram engenheiros o pessoal qualidade design diria pra mandar fizeram esste e contratar volta antigos mesmos creio deram a contribuição tinham pra,2020-11-29 00:00:00
positivo,A mídia carregada Gosto Echos claro teste marcas .Mais testo produtos e deixar claro nenhum patrocínio seja compro bolso .Eu autônoma Echo S pontuação há média melhores categorias o nome sugestivo Alexa Echo e Amazon .Obrigado e,2021-06-03 00:00:00
positivo,Ótimo produto satisfeito a Alexa dificuldades ouvir,2020-11-07 00:00:00
negativo,POSITIVOS Gostei desenho bonita e o design atual Comparando a ECHO 3 tb o som o volume qualidade a característica graves esperado tamanho alto falante).A ECHO 4 o som direcionado colocado frente o ouvinte NEGATIVOS A antiga ECHO 3 entender melhor comandos raramente precisava repetir e respondia imediato frequentemente repetir falar pausadamente e há ruído ambiente fica pior gostei cabo força a ECHO 3 a 4 pretas o cabo força ECHO 4 veio branco o fica destoante mesa fazendo o cabo fique claramente destacado caixa SUGESTÃO 3 e 4 gostaria a opção versão bateria pra possa levar a caixinha comigo pra cozinha sala churrasqueira etc.a ALEXA pra ficar presa a locais tomada,2020-12-29 00:00:00
negativo,Pessimo produto horrível escuta surda a versão anterior ganha 1000 a 0.pensa produtos porcaria horrível.você grita fala alto fala devagar claro a porcaria produto escuta Amazon deixou a clientes furada.eu recomendo jamais.eu 3 versão anterior demais.eu comprei 5 Echo 4 geração devolvi 5 = 3 ECHO 4 1ECHO DOT 4 RELOGIO 1 ECHO DOT 4 .PORCARIA TOTAL,2021-01-16 00:00:00
negativo,Comprei o Echo Dot 4a geração 12/04/2021 15/04/2021 recebí o produto e iniciei a instalação início funcionou e comprei outro Echo igual o passar dias começou a ficar problemas executar comandos simples desligar luzes pesquisar nuvem etc data hoje o Echo iniciou o despertador e parou apesar comandos encerrar atividade Liguei e desliguei energia 2X o problema persistia a solução Joguei parede quebrou pedaços resolveu enfim parou o despertador O outro Echo direto o lixo perdi totalmente a confiabilidade marca e produtos a procura assistente virtual fuja Amazon e Echos valem,2021-06-09 00:00:00
positivo,simplesmente AMO Alexa mudou rotina d consegui automatizar o fosse ficaria fácil Skills sono ajudaram a dormir e muita insônia sons chuva e a possibilidade criar rotinas ótima adoro o dia alexa dia diferente Ajuda a lembrar eventos reuniões entregas trabalho e a listas compras esqueço KKKKK estiver d o celular lembra Comprei outro Echo Dot mãe e conversamos Adorei função várias Skills adoro jogos contar histórias e piadas e entende músicas peço vantagem monstruosa acho ler o kindle abre o livro exatamente parei a leitura e lê mim audiobook Incrível simplesmente Ajuda Adoro Vou colocar casa inteira,2021-05-09 00:00:00
negativo,tinha o Google assistente e troquei Alexa desapontado dificuldades reconhecer dispositivos e acendê-los separadamente chamado junto engenharia Amazon verificar acontece Vamos conseguem consertar lâmpadas cozinha e peço a Alexa acender luzes cozinha pede confirmar quis cozinha E a descobri o problema verdade identifica o cozinha identifica a palavra luzes dispositivos pedir acender cozinha acende luzes solução funciona luzes cozinha tivesse aparelhos fossem ligados Alexa iriam ligar pedisse ativar a cozinha,2020-12-07 00:00:00
negativo,comprem versão A Echo escuta o comando Alexa preciso gritar estando a 1 metrô pra entender e ouvir comando falo Alexa 5 a 10 pra responder absurdo tinha a versão anterior e INFINITAMENTE MELHOR a o reconhecimento voz Vou devolver e pedir reembolso,2020-12-21 00:00:00
positivo,Trabalho empresa projeta suportes a Echo Dot acesso a o modelo 4 o lançamento período pude testar e comprarar o dispositivo o modelo 3 anterior O design quase esfera corte base Visualmente dispositivos diferentes o anterior disco bolinha O projeto alto falante esférico contato a Harman Kardon Onyx dispositivo tinha excelentes graves Acredito mudar a aparência melhorar graves tenha sido o principal o objetivo mudança design Echo Dot Será graves melhoraram o som Echo Dot 4?A diferença acabou sendo sutil Pude perceber melhora batidas ouvindo Hip Hop 50 Cent Dre o som deixa a desejar quesito A caixinha vibra e tímida graves a Dot 3 a Dot 4 dispositivo projeto vocal significa o som ótimo a sertanejos e músicas POP rocks o som fica legal ouvir Dark Necessities Red Hot achei faltou pegada fiel a o som mudança importante o dispositivo direcional significa o som sai direções saia versão anterior aponta a Dot 4 direção e o som espalha 180 graus a o invés 360 A mudança posicionava a Dot 3 centro cômodo acredito eram raros casos e mudaram).No considerando o porte caixa o som esperado e comparável a JBL porte o design gostei formato A iluminação interativa led mudou face superior e fica base dispositivo A mudança trouxe certo charme a caixinha o reconhecimento voz perceber certa melhoria a adição microfones captação voz houve melhorar substancial incremental O software continuamente aperfeiçoado fica difícil distinguir o melhoria software melhoria hardware dica treinar o aplicativo a voz o reconhecimento melhora significativamente Basta baixar o APP Alexa o o passo a passo inicial configuração e encontra opção O problema continua sendo a bateria O dispositivo funciona tomada A fonte grandinha e o cabo chama atenção deveria tirando o brilho dispositivo vide fotos A Echo Dot 4 pensada uso superfície plana mesa escrivaninha O som fica bacana a caixinha fica chão uso diário senti principalmente oferta suportes tomada e embutir forro teto posicionam melhor o dispositivo e escondem a fonte e o cabo ocorreu a Echo Dot 3 problema resolvido o,2020-11-16 00:00:00
negativo,Captura voz ruim chegar ouvir poucos centímetros A metros falando alto Comprei pra comandar aparelhos sofá e pra ficar levantando pra falar gostei d,2020-11-09 00:00:00
positivo,Echo Dot 4ª Geração cumpre o promete som limpo e potente e capacidade reconhecimento fala e execução tarefas completa Cumpre o prometido configuração fácil rápida e intuitiva autorizar a conexão conta compra aplicativo Alexa reconhecer e terminar a configuração dispositivo uso dificuldade resto aproveitar a imensa gama skills e funcionalidades o equipamento a oferecer O alcance escuta microfone alto e comandos entendidos sejam ditos outro cômodo casa Basta falar clara,2020-11-08 00:00:00
negativo,A mídia carregada Péssimo experiência dispositivos Echo usando durante 10 dias início o reconhecimento palavra ativação eram rápidas e falando Conseguia captar fiz nenhum alteração configurações troquei e ultimamente escutado aconteça falar inúmeras gritar fiz vídeo e a mesma ativou ativou a auxílio aperto botões produto péssimo agradou e experiência início havia sido incrível hoje dia dado dor cabeça e frustrações comprei a 4 achando melhor a 3 visto E olha exatamente 10 dias uso achei ficaria inteligente o passar devido a começar a conhecer rotinas simplesComando tá complicado o reconhecimento palavra ativação!!NÃO RECOMENDO,2020-12-12 00:00:00
negativo,Completamente frustrado paguei caro e veio microfone inferior e o microfone inferior a o echo dot 3 ouve decepcionado preço alto e microfone inferior o áudio ótimo serve tocar musica falar 3 conseguir ativar,2020-11-11 00:00:00
negativo,dificuldade entender fala,2020-11-06 00:00:00
positivo,dias usando percebi o o som superior a o geração respostas rápidas Único probleminha senti melhorou n modelo o microfone dificuldade ouvir quesito acho o geração sai melhor preferir qualidade áudio pra músicas a melhor opção faixa 400 reais,2020-11-07 00:00:00
negativo,O reconhecimento voz melhores Poderiam adicionar + 1 microfone a o invés manter 4 microfones igual a o echo dot 3 s preciso chamá-la 3x pra responder,2020-11-09 00:00:00
positivo,Sensacional,2020-11-05 00:00:00
positivo,A mídia carregada Gostei poucos dispositivos smart home a experiência sido gostei criados perfis usuários membros família terem entrar conta Amazon e escolher o perfil d permite tenham próprias skills e vinculem Spotify contas mudam o vínculo muda perfis,2021-01-08 00:00:00
positivo,a Echo Dor 3ª geração e 4ª geração compramos deixar filhos o microfone d geração anterior chamar várias responder a responde funcionalidades skills igual o som percebi melhor usamos ouvir música usamos a automação residencial e assistente pessoal,2021-01-01 00:00:00
positivo,A Echo Dot qualidade som limitada razoável ambientes pequenos e específicos banheiro estéreo contorna limitações técnicas recomendaria a compra pensando dispositivo áudio exclusivo melhores A principal vantagem atual geração utilização dispositivo integrado automação residencial limitada Brasil skills limitadas Alexa sendo a melhor Brasil O microfone e velocidade processamento bons atual geração equipara a Echo e Studio acima Echo Show a 10 ótimo reconhecimento idiomas misturando inglês e português vejo a melhor aplicação a porta P2 conectada a alguma caixa som potente antiga A Marshall 6 anos ficou inteligente aliada a potência Studio lançada 5 anos serve comandos simples automação residencial compraria a Echo Dot tivesse dispositivos inteligentes casa compatíveis a Alexa fosse pra integrar a caixa antiga potente adicionar inteligência áudio integração Spotify e reconhece a mistura idiomas Peca o Tidal compatível nativo Brasil aplicações uso cotidiano ficam inúteis e poano O Uber e iFood extremamente limitados portais notícias atualizadas noite ouvir café manhã ouvir repetida dia anterior Horóscopo bobeira A estimativa trânsito reconhece Espero acrescentem o Tidal Brasil e melhorem aplicações atuais recomendo a relogio ficar a informação funciona decoração ambiente e ajuda informações volume timer e clima,2021-04-01 00:00:00
negativo,Comprei a Echo Dot 4ª G sabendo tratava a o contrário vejo muita gente comentando item necessidade vantagens extrair coisas interessantes alguma inventividade vida caixinha som bluetooth qualidade Destaquei o bluetooth reprodutora app música péssima roda playlists grava preferências entende comandos e tento usá-la serviço música o Amazon Music raiva raiva o negócio rodar conexão direta Outro decepcionou a leitura Kindle Pensei poderia usá-la ouvir documentos roda ebooks tenham sido comprados Amazon o Kindle suporte pdfs Consumo artigo acadêmico e achei teria ganho ouvindo-os executo atividades e dei vou entender o aparelho bateria e depender conectado rede elétrica full time Enfim críticas muitas contundentes comprei expectativas expectativas baixas senti ficou aquém desejado crianças divertem fazendo milhões perguntas bobas,2021-08-20 00:00:00
positivo,Uso a Eco dot assistente n uso caixa som e q comprei perdi compromisso O som d MT e alto sendo a versão básica distorção O controle o app TB tenha interface uso prática usou o acustuma Optei ficxar bolinhas silicone base gastar a borracha aliás MT TB).O cabo relativamente O único negativo q entende o falo raro acontece impeditivo adquirir,2021-04-09 00:00:00
positivo,quase sinto série Years and Years HBO precisamos avanços conexão banda larga ajustes interações orgânicas Alexa o perfil e digo usuária interior Pará adaptando s skills úteis pra mim produto serviço potencialmente necessário âmbitos cotidiano A abrangência usos a propõe dominar presença casas humanos consciente sigo entregando dados Amazon troca e luto,2021-03-15 00:00:00
positivo,A mídia carregada Adorei achei surda vi avaliações achei escuta preciso gritar falar claramente A qualidade som excelente Uso pra lembrar coisas e ouvir música durante o trabalho Gosto automações vc programar investir lâmpada pro abajur e aparelho pra TV pra conseguir interagir O cabinho cor diferente incomoda pq fica escondido bacana base carga pra caso quisesse transportá-la pra algum temporariamente banheiro a funcionalidade anunciar acredito mto legal casas Achei a voz d tbm mecânica fluida A função contar histórias mto tbm Gostei mto modo queria e esperei aparecer promoção,2021-07-07 00:00:00
positivo,absolutamente nenhum problema a o reconhecimento som microfone várias pessoas reportaram A Alexa atende normalmente precisar gritar chamar alto Qualidade sonora d impecável ambientes pequenos Utilizo a volume 2 3.No notebook antigo pareio o bluetooth o audio d cracks notebook utilizado telefone acontece e sai perfeito Sincronizo agenda Google e avisa eventos próximos Ouvir Spotify Amazon Music outro serviço música experiência,2021-06-14 00:00:00
